Stop Name,Latitude,Longitude,Classification,Scores,Notes
Heritage Marketplace,33.64017909,-117.1683443,Commercial,,
Sonoma at Mapleton Apartments,33.63177833,-117.169029,Residential,,
Mapleton & Iris,33.63206724,-117.1609448,Residential,,
Whitewood & Mapleton,33.63211922,-117.154617,Residential,,
Poinsettia & Verbena,33.62944502,-117.151333,Residential,,
Mapleton Park,33.62859059,-117.1632626,Community,,
Kaiser Permanente @ Keller,33.62706891,-117.1680174,Services,,
Springbrook Park,33.62627605,-117.1626604,Community,,
Keller & Whitewood,33.62697361,-117.1579861,Residential,,
Meadowlark & Brians,33.62321254,-117.1626746,Residential,,
Antelope & Keller,33.62701828,-117.1704208,Residential,,
Loma Linda University Medical Center,33.61344176,-117.1707308,Services,,
Alderwood Park,33.6122517,-117.1626545,Community,,
Whitewood & Lee/Linnel,33.60504332,-117.1629172,Residential,,
Meadowlark Pointe,33.60229729,-117.1628356,Residential,,
McElwain @ Super Target,33.60333761,-117.1757273,Commercial,,
Orchard Center,33.60061743,-117.177049,Commercial,,
Clinton Keith & Whitewood,33.59796686,-117.1629067,Residential,,
Clinton Keith @ Costco & Vista Murrieta High School,33.59797797,-117.1691092,Commercial,,
Clinton Keith & Menifee,33.59778591,-117.1540116,Residential,,
Los Alamos & Shannon N,33.58967023,-117.1585747,Residential,,
Los Alamos & Mason,33.58519129,-117.1627216,Residential,,
Rail Ranch Elementary School,33.57806369,-117.1724235,Community,,
Los Alamos Hills Sports Park,33.58296152,-117.1716604,Community,,
Whitewood & Hunter,33.5883462,-117.172097,Residential,,
Clinton Keith & Murrieta Oaks/Greer,33.59658888,-117.1866839,Residential,,
Murrieta Antelope Hills Park,33.59321439,-117.1853108,Community,,
Murrieta Oaks & Oak Meadows,33.59069982,-117.1840243,Residential,,
Antelope Hills Elementary School,33.5955621,-117.1797629,Community,,
Greer & Pabesu East,33.60503832,-117.1879787,Residential,,
Greer & Pabesu West,33.6027111,-117.1977392,Residential,,
Clinton Keith & California Oaks,33.59551649,-117.1973732,Residential,,
Blackmore Ranch Park,33.59802696,-117.2024509,Community,,
Clinton Keith & Spinning Wheel,33.5977537,-117.2116858,Residential,,
Nutmeg & St Raphael (Tovashal),33.59477105,-117.2044939,Residential,,
Nutmeg & Gingerbread,33.59107591,-117.2100999,Residential,,
Golden Pheasant and Malacca/Tanager,33.58902606,-117.2052871,Residential,,
Valley Vista Park,33.58654143,-117.2011351,Community,,
Whitewood & Busman,33.58251782,-117.178104,Residential,,
Murrieta Gateway,33.57446781,-117.178077,Commercial,,
Whitewood & Willowbend,33.57383118,-117.1727816,Residential,,
Rahcno Acacias Park @ Avienda Palizada,33.56932581,-117.1753243,Community,,
Whitewood & Blackthorne,33.57158747,-117.1688655,Residential,,
Whitewood Park,33.56861065,-117.167106,Community,,
Alta Murrieta Elementary School,33.565446,-117.167739,Community,,
Whitewood & Via Temprano/Highbury,33.56256732,-117.1651212,Residential,,
Firefighters Park,33.55457,-117.1681727,Community,,
Murrieta Hot Springs & Alta Murrieta (Sam's Club),33.55638741,-117.1774787,Commercial,,
Alta Murrieta Sports Park,33.5613435,-117.177022,Community,,
Alta Murrieta & Ridgeplume,33.56309514,-117.1733501,Residential,,
Rockcrest & Daphne,33.55844772,-117.1712948,Residential,,
Jackson & Magellan,33.55135707,-117.1783836,Residential,,
Murrieta Palms @ Ynez,33.5417697,-117.1718569,Residential,,
Murrieta Hot Springs & Margarita,33.55654124,-117.1570881,Commercial,,
Murrieta Hot Springs & Calle Del Lago,33.55510725,-117.1477637,Residential,,
Murrieta Hot Springs & Winchester (Hwy 79),33.5526647,-117.1406552,Commercial,,
Winchester & Robert Trent Jones/Technology,33.56081801,-117.1387053,Residential,,
Winchester & Hunter,33.56887288,-117.1365917,Residential,,
Winchester & La Alba/Sparkman,33.5760523,-117.1346018,Residential,,
French Valley Airport @ Winchester,33.58233592,-117.1327253,Residential,,
French Valley Village Shopping Center,33.59205723,-117.1249864,Commercial,,
Winchester & Max Gilliss/Thompson,33.59811403,-117.118494,Residential,,
Spencer's Crossing Sports Park,33.60222471,-117.1238263,Community,,
Clinton Keith & Trois Valley,33.60235975,-117.1349123,Residential,,
Clinton Keith & Smith Ranch,33.59781914,-117.2238415,Residential,,
Clinton Keith Veterinary Hospital,33.59775205,-117.2325359,Services,,
Inland Valley Medical Center,33.59236294,-117.236827,Services,,
Clinton Keith & Wildomar Trail,33.59770024,-117.2409085,Commercial,,
Prielipp & Elizabeth,33.59049499,-117.2280652,Residential,,
Nutmeg & Lincoln,33.58730085,-117.2153131,Residential,,
Glen Arbor Park,33.58484297,-117.2184995,Community,,
Jackson & Robards/Eden Springs,33.58798904,-117.2220508,Residential,,
Clinton Keith & Hidden Springs,33.59425643,-117.2470702,Commercial,,
Renaissance Plaza,33.59102569,-117.2511311,Commercial,,
Clinton Keith & Palomar,33.58930336,-117.2520778,Commercial,,
Sycamore Academy Charter School,33.58577766,-117.2471071,Community,,
Clinton Keith & Grand,33.58357001,-117.255261,Residential,,
Cliinton Keith & Calle Del Oso Oro (Bear Creek),33.57497816,-117.2605926,Residential,,
Riverside County Fire Department Station 75,33.56511006,-117.2646207,Services,,
Clinton Keith & Club View,33.57899545,-117.2576463,Residential,,
Club View & Via Moreno,33.57580436,-117.2533655,Residential,,
Cole Canyon Elementary School,33.57373054,-117.2487414,Community,,
Calle Del Oso Oro & Via Moreno,33.56927881,-117.2496212,Residential,,
Rosewood Park,33.57273831,-117.2438812,Community,,
Calle Del Oso Oro & Oakleaf/Vineyard,33.56833521,-117.2462221,Residential,,
Calle Del Oso Oro & Applewood,33.57037711,-117.2392677,Residential,,
Washington & Calle Del Oso Oro/Nutmeg,33.57245931,-117.2346756,Residential,,
Washington & Grizzly Ridge,33.57660265,-117.2390758,Residential,,
Nutmeg & Jefferson,33.57615559,-117.2268222,Residential,,
Gateway Church of the Nazarene,33.58171531,-117.2341178,Community,,
Grizzly Ridge & Camellia,33.57904276,-117.2358237,Residential,,
Nutmeg & Via Olivia,33.57931091,-117.222123,Residential,,
Nutmeg & Morning Glory,33.58293983,-117.2209321,Residential,,
Palomar Park & La Alba Trail,33.5792326,-117.139666,Community,,
Monte Vista Elementary School,33.57768423,-117.1464504,Residential,,
Hunter & Via Mira Mosa,33.56876929,-117.1490307,Residential,,
Margarita & Torrey Pines,33.54930348,-117.1573326,Residential,,
California Oaks & Falconer/Manresa,33.59049529,-117.1986909,Residential,,
California Oaks & Hancock,33.58183701,-117.1983723,Residential,,
California Oaks Sports Park,33.57511482,-117.2014659,Community,,
California Oaks & Jackson,33.57178057,-117.2040194,Commercial,,
California Oaks Plaza,33.5675121,-117.2060051,Commercial,,
Calvary Chapel Murrieta,33.57253973,-117.2122682,Community,,
Monroe & Chatenay,33.5756058,-117.2120161,Residential,,
Jackson & Monroe,33.57796561,-117.2111578,Residential,,
E. Hale Curran Elementary School,33.57979799,-117.2131426,Community,,
Chaco Canyon & Verdun,33.57664269,-117.2171767,Residential,,
Jackson & Via Diamante/Buttercup,33.58162136,-117.214971,Residential,,
Kalmia @ Kohl's,33.56268474,-117.2089452,Commercial,,
Village Walk Plaza,33.56536674,-117.2119492,Commercial,,
Kalmia & Jefferson,33.56130795,-117.2106457,Commercial,,
Murrieta Town Square,33.55992219,-117.2091383,Services,,
Jefferson & Lemon,33.56669877,-117.2164124,Residential,,
Jefferson & Magnolia/Nighthawk,33.57207181,-117.2223306,Residential,,
Lemon & Adams,33.56427773,-117.2196678,Residential,,
Nighthawk & Adams,33.56962557,-117.225479,Residential,,
Plaza de Oro,33.57082026,-117.2327619,Commercial,,
Washington & Nighthawk,33.56718558,-117.228946,Residential,,
Murrieta Valley High School,33.56453691,-117.2322688,Community,,
Thompson Middle School & Murrieta Canyon Academy,33.56133186,-117.2343551,Community,,
Vineyard & Luna Brilla/Calle Estancia,33.55765885,-117.2283466,Residential,,
Washington & Vineyard/Lemon,33.56177438,-117.2230134,Residential,,
Centerpoint Church,33.55969451,-117.220783,Community,,
Washington & Kalmia,33.55640076,-117.2171642,Commercial,,
Kalmia & Adams,33.55890589,-117.2138337,Community,,
Murrieta Public Library & Murrieta Elementary School,33.5570373,-117.2118166,Community,,
Washington & B,33.55452034,-117.2150825,Commercial,,
B & 2nd,33.55309421,-117.2168828,Residential,,
Kalmia & 2nd,33.55504336,-117.2189696,Residential,,
Murrieta Senior Center,33.55687485,-117.2100529,Community,,
Washington & Juniper,33.55372456,-117.2142221,Commercial,,
Junpier & 2nd,33.55231633,-117.2160192,Residential,,
Kalmia & 4th,33.55322188,-117.2212989,Residential,,
Kalmia & Hayes,33.55145271,-117.2236289,Residential,,
Hayes & Juniper,33.54871798,-117.2207811,Residential,,
Hayes & Ivy,33.54602093,-117.217791,Residential,,
Hayes & Hawthorn,33.54065563,-117.2119073,Residential,,
Hayes & De Luz/Guava,33.53531414,-117.206107,Residential,,
Washington & Ivy,33.55098149,-117.2112573,Commercial,,
Ivy & Adams,33.55353582,-117.2079424,Commercial,,
Washington & Hawthorn,33.54563897,-117.2054779,Residential,,
Adams & Guava,33.54278761,-117.196297,Commercial,,
Jefferson & Juniper,33.5586629,-117.2077071,Community,,
Jefferson & Ivy/Los Alamos,33.55596579,-117.2048272,Residential,,
Jefferson & Murrieta Hot Springs,33.55065133,-117.198985,Commercial,,
Jefferson & Guava,33.54517652,-117.1931565,Commercial,,
Jefferson & Fig,33.54037578,-117.1866285,Commercial,,
Jefferson & Elm,33.53547188,-117.1800458,Commercial,,
Jefferson & Pear/Eastman,33.53101356,-117.1764938,Commercial,,
Jefferson & Cherry,33.52706886,-117.1723005,Commercial,,
Sierra Vista Shopping Center,33.57143427,-117.1835869,Commercial,,
Hancock & Las Brisas N/Ridgewood,33.57945236,-117.1951376,Residential,,
Hancock & Leafwood/Milkwood,33.57429538,-117.1883166,Residential,,
Hancock & Las Brisas S/Coliseum,33.57172907,-117.1854091,Residential,,
Los Alamos & Parkcrest,33.56840807,-117.1869161,Residential,,
Los Alamos & Lincoln/Vista Murrieta,33.56595511,-117.1905315,Residential,,
Los Alamos & Monroe,33.56250722,-117.1952641,Residential,,
Los Alamos & Madison,33.55838788,-117.2015321,Commercial,,
Madison Center,33.5623556,-117.2059171,Commercial,,
Madison & Juniper,33.56106698,-117.2044958,Commercial,,
Madison @ Mulligans,33.55955189,-117.2027991,Community,,
Monroe & Sunflower,33.56848299,-117.2039832,Residential,,
Monroe & Symphony Park,33.56649841,-117.2013814,Residential,,
Murrieta Mesa High School,33.56424954,-117.1968314,Community,,
Madison Square & Murrieta Spectrum Shopping Center,33.55684241,-117.199817,Commercial,,
Murrieta Springs Plaza,33.55512526,-117.1970738,Commercial,,
Hancock & Calle Yorba Vista,33.56963539,-117.1828728,Commercial,,
Hancock & Parkcrest,33.56584677,-117.1824781,Residential,,
Rady Children's Specialists,33.56425603,-117.18249,Services,,
Rancho Springs Medical Center,33.55770679,-117.1848695,Services,,
Buchanan Elementary School,33.54694545,-117.161328,Community,,
Torrey Pines & Sugarberry,33.54546058,-117.1670731,Residential,,
Lincoln & Wichita,33.56973139,-117.1963092,Residential,,
Shivela Middle School,33.57309887,-117.1981411,Community,,